,Year,From country,Votes,Country,Own,English,Other,has_border
319,1999,EE,4.0,IL,0.0,0.0,1.0,
320,1999,EE,10.0,IS,0.0,1.0,0.0,
322,1999,EE,2.0,LT,0.0,0.0,1.0,
328,1999,EE,1.0,MT,1.0,1.0,0.0,
329,1999,EE,0.0,NL,0.0,1.0,0.0,
330,1999,EE,0.0,NO,0.0,1.0,0.0,
331,1999,EE,0.0,PL,1.0,0.0,0.0,
332,1999,EE,0.0,PT,1.0,0.0,0.0,
336,1999,EE,12.0,SE,0.0,1.0,0.0,
337,1999,EE,0.0,SI,0.0,1.0,0.0,
340,1999,EE,0.0,TR,1.0,0.0,0.0,
346,1999,ES,0.0,AT,0.0,1.0,0.0,
349,1999,ES,0.0,BA,0.0,0.0,1.0,
350,1999,ES,0.0,BE,0.0,1.0,0.0,
354,1999,ES,0.0,CY,1.0,0.0,0.0,
356,1999,ES,7.0,DE,0.0,0.0,1.0,
357,1999,ES,5.0,DK,0.0,1.0,0.0,
358,1999,ES,1.0,EE,1.0,1.0,0.0,
359,1999,ES,0.0,ES,1.0,0.0,0.0,
361,1999,ES,0.0,FR,1.0,0.0,0.0,1.0
362,1999,ES,4.0,GB,1.0,1.0,0.0,
365,1999,ES,12.0,HR,1.0,0.0,0.0,
367,1999,ES,0.0,IE,1.0,1.0,0.0,
368,1999,ES,8.0,IL,0.0,0.0,1.0,
369,1999,ES,10.0,IS,0.0,1.0,0.0,
371,1999,ES,0.0,LT,0.0,0.0,1.0,
377,1999,ES,0.0,MT,1.0,1.0,0.0,
378,1999,ES,3.0,NL,0.0,1.0,0.0,
379,1999,ES,0.0,NO,0.0,1.0,0.0,
380,1999,ES,0.0,PL,1.0,0.0,0.0,
381,1999,ES,0.0,PT,1.0,0.0,0.0,1.0
385,1999,ES,6.0,SE,0.0,1.0,0.0,
386,1999,ES,2.0,SI,0.0,1.0,0.0,
389,1999,ES,0.0,TR,1.0,0.0,0.0,
395,1999,FR,0.0,AT,0.0,1.0,0.0,
398,1999,FR,6.0,BA,0.0,0.0,1.0,
399,1999,FR,2.0,BE,0.0,1.0,0.0,1.0
403,1999,FR,0.0,CY,1.0,0.0,0.0,
405,1999,FR,8.0,DE,0.0,0.0,1.0,1.0
406,1999,FR,0.0,DK,0.0,1.0,0.0,
407,1999,FR,4.0,EE,1.0,1.0,0.0,
408,1999,FR,0.0,ES,1.0,0.0,0.0,1.0
410,1999,FR,0.0,FR,1.0,0.0,0.0,
411,1999,FR,0.0,GB,1.0,1.0,0.0,
414,1999,FR,7.0,HR,1.0,0.0,0.0,
416,1999,FR,0.0,IE,1.0,1.0,0.0,
417,1999,FR,10.0,IL,0.0,0.0,1.0,
418,1999,FR,0.0,IS,0.0,1.0,0.0,
420,1999,FR,0.0,LT,0.0,0.0,1.0,
426,1999,FR,0.0,MT,1.0,1.0,0.0,
427,1999,FR,0.0,NL,0.0,1.0,0.0,
428,1999,FR,0.0,NO,0.0,1.0,0.0,
429,1999,FR,0.0,PL,1.0,0.0,0.0,
430,1999,FR,12.0,PT,1.0,0.0,0.0,
434,1999,FR,3.0,SE,0.0,1.0,0.0,
435,1999,FR,1.0,SI,0.0,1.0,0.0,
438,1999,FR,5.0,TR,1.0,0.0,0.0,
444,1999,GB,7.0,AT,0.0,1.0,0.0,
447,1999,GB,0.0,BA,0.0,0.0,1.0,
448,1999,GB,0.0,BE,0.0,1.0,0.0,
452,1999,GB,2.0,CY,1.0,0.0,0.0,
454,1999,GB,1.0,DE,0.0,0.0,1.0,
455,1999,GB,5.0,DK,0.0,1.0,0.0,
456,1999,GB,3.0,EE,1.0,1.0,0.0,
457,1999,GB,0.0,ES,1.0,0.0,0.0,
459,1999,GB,0.0,FR,1.0,0.0,0.0,
460,1999,GB,0.0,GB,1.0,1.0,0.0,
463,1999,GB,0.0,HR,1.0,0.0,0.0,
465,1999,GB,4.0,IE,1.0,1.0,0.0,1.0
466,1999,GB,0.0,IL,0.0,0.0,1.0,
467,1999,GB,10.0,IS,0.0,1.0,0.0,
469,1999,GB,0.0,LT,0.0,0.0,1.0,
475,1999,GB,6.0,MT,1.0,1.0,0.0,
476,1999,GB,8.0,NL,0.0,1.0,0.0,
477,1999,GB,0.0,NO,0.0,1.0,0.0,
478,1999,GB,0.0,PL,1.0,0.0,0.0,
479,1999,GB,0.0,PT,1.0,0.0,0.0,
483,1999,GB,12.0,SE,0.0,1.0,0.0,
484,1999,GB,0.0,SI,0.0,1.0,0.0,
487,1999,GB,0.0,TR,1.0,0.0,0.0,
493,1999,HR,0.0,AT,0.0,1.0,0.0,
496,1999,HR,10.0,BA,0.0,0.0,1.0,1.0
497,1999,HR,4.0,BE,0.0,1.0,0.0,
501,1999,HR,0.0,CY,1.0,0.0,0.0,
503,1999,HR,3.0,DE,0.0,0.0,1.0,
504,1999,HR,0.0,DK,0.0,1.0,0.0,
