index,year,from_code2,votes,to_country,lang_own,lang_eng,lang_other,has_border,migration_band,migration_year,to_code2,to_code3,population,count,prop_emigrants,gender,comps_without_win
91,1999,DE,0.0,United Kingdom,1.0,1.0,0.0,,2000,2000,GB,GBR,58892514.0,257322,0.00436934989734,group,1
92,1999,DE,10.0,Croatia,1.0,0.0,0.0,,2000,2000,HR,HRV,4468302.0,7773,0.0017395869840489,female,43
93,1999,DE,0.0,Ireland,1.0,1.0,0.0,,2000,2000,IE,IRL,3805174.0,7601,0.0019975433449298,group,2
94,1999,DE,7.0,Israel,0.0,0.0,1.0,,2000,2000,IL,ISR,6289000.0,26847,0.0042688821752265,male,0
95,1999,DE,3.0,Iceland,0.0,1.0,0.0,,2000,2000,IS,ISL,281205.0,1040,0.0036983695169004,female,43
96,1999,DE,0.0,Lithuania,0.0,0.0,1.0,,2000,2000,LT,LTU,3499536.0,1605,0.0004586322301013,female,43
97,1999,DE,1.0,Malta,1.0,1.0,0.0,,2000,2000,MT,MLT,390087.0,578,0.0014817207443467,group,43
98,1999,DE,0.0,Netherlands,0.0,1.0,0.0,1.0,2000,2000,NL,NLD,15925513.0,123252,0.0077392797330924,female,23
99,1999,DE,0.0,Norway,0.0,1.0,0.0,,2000,2000,NO,NOR,4490967.0,11445,0.0025484489197983,male,3
100,1999,DE,4.0,Poland,1.0,0.0,0.0,1.0,2000,2000,PL,POL,38258629.0,105540,0.002758593362036,male,43
101,1999,DE,0.0,Portugal,1.0,0.0,0.0,,2000,2000,PT,PRT,10289898.0,24141,0.0023460873956184,male,43
102,1999,DE,2.0,Sweden,0.0,1.0,0.0,,2000,2000,SE,SWE,8872109.0,38155,0.0043005558204931,female,7
103,1999,DE,0.0,Slovenia,0.0,1.0,0.0,,2000,2000,SI,SVN,1988925.0,12368,0.006218434581495,female,43
104,1999,DE,12.0,Turkey,1.0,0.0,0.0,,2000,2000,TR,TUR,64113547.0,254815,0.0039744330476677,group,43
105,1999,DK,3.0,Austria,0.0,1.0,0.0,,2000,2000,AT,AUT,8011566.0,982,0.0001225727903882,female,32
106,1999,DK,0.0,Belgium,0.0,1.0,0.0,,2000,2000,BE,BEL,10251250.0,2783,0.0002714790879161,female,12
107,1999,DK,0.0,Cyprus,1.0,0.0,0.0,,2000,2000,CY,CYP,948237.0,77,8.120332786001812e-05,female,43
108,1999,DK,5.0,Germany,0.0,0.0,1.0,1.0,2000,2000,DE,DEU,82211508.0,20265,0.0002464983369481,group,16
109,1999,DK,4.0,Estonia,1.0,1.0,0.0,,2000,2000,EE,EST,1396985.0,52,3.7223019574297504e-05,group,43
110,1999,DK,0.0,Spain,1.0,0.0,0.0,,2000,2000,ES,ESP,40567864.0,7156,0.0001763957796742,female,29
111,1999,DK,0.0,France,1.0,0.0,0.0,,2000,2000,FR,FRA,60921384.0,7210,0.0001183492482705,female,21
112,1999,DK,1.0,United Kingdom,1.0,1.0,0.0,,2000,2000,GB,GBR,58892514.0,18023,0.0003060321045218,group,1
113,1999,DK,0.0,Croatia,1.0,0.0,0.0,,2000,2000,HR,HRV,4468302.0,27,6.042563819544874e-06,female,43
114,1999,DK,0.0,Ireland,1.0,1.0,0.0,,2000,2000,IE,IRL,3805174.0,522,0.0001371816374231,group,2
115,1999,DK,2.0,Israel,0.0,0.0,1.0,,2000,2000,IL,ISR,6289000.0,1411,0.0002243599936396,male,0
116,1999,DK,12.0,Iceland,0.0,1.0,0.0,,2000,2000,IS,ISL,281205.0,2302,0.0081861986806777,female,43
117,1999,DK,0.0,Lithuania,0.0,0.0,1.0,,2000,2000,LT,LTU,3499536.0,87,2.486043864100841e-05,female,43
118,1999,DK,0.0,Malta,1.0,1.0,0.0,,2000,2000,MT,MLT,390087.0,37,9.485063588379004e-05,group,43
119,1999,DK,7.0,Netherlands,0.0,1.0,0.0,,2000,2000,NL,NLD,15925513.0,3048,0.0001913910088799,female,23
120,1999,DK,6.0,Norway,0.0,1.0,0.0,,2000,2000,NO,NOR,4490967.0,21713,0.0048348161988275,male,3
121,1999,DK,0.0,Poland,1.0,0.0,0.0,,2000,2000,PL,POL,38258629.0,729,1.905452492821946e-05,male,43
122,1999,DK,0.0,Portugal,1.0,0.0,0.0,,2000,2000,PT,PRT,10289898.0,368,3.5763231083534553e-05,male,43
123,1999,DK,10.0,Sweden,0.0,1.0,0.0,,2000,2000,SE,SWE,8872109.0,38190,0.0043045007675176,female,7
124,1999,DK,0.0,Slovenia,0.0,1.0,0.0,,2000,2000,SI,SVN,1988925.0,32,1.6089093354450267e-05,female,43
125,1999,DK,0.0,Turkey,1.0,0.0,0.0,,2000,2000,TR,TUR,64113547.0,3135,4.8897622213913696e-05,group,43
126,1999,EE,8.0,Austria,0.0,1.0,0.0,,2000,2000,AT,AUT,8011566.0,258,3.22034418739108e-05,female,32
127,1999,EE,5.0,Belgium,0.0,1.0,0.0,,2000,2000,BE,BEL,10251250.0,55,5.365199365930984e-06,female,12
128,1999,EE,0.0,Cyprus,1.0,0.0,0.0,,2000,2000,CY,CYP,948237.0,13,1.3709652755587474e-05,female,43
129,1999,EE,7.0,Germany,0.0,0.0,1.0,,2000,2000,DE,DEU,82211508.0,9153,0.0001113347780945,group,16
130,1999,EE,6.0,Denmark,0.0,1.0,0.0,,2000,2000,DK,DNK,5339616.0,460,8.614851704691872e-05,group,35
131,1999,EE,0.0,Spain,1.0,0.0,0.0,,2000,2000,ES,ESP,40567864.0,124,3.0566065790400006e-06,female,29
132,1999,EE,0.0,France,1.0,0.0,0.0,,2000,2000,FR,FRA,60921384.0,881,1.4461260433610635e-05,female,21
133,1999,EE,0.0,United Kingdom,1.0,1.0,0.0,,2000,2000,GB,GBR,58892514.0,1943,3.299230866591975e-05,group,1
134,1999,EE,3.0,Croatia,1.0,0.0,0.0,,2000,2000,HR,HRV,4468302.0,5,1.1189932999157175e-06,female,43
135,1999,EE,0.0,Ireland,1.0,1.0,0.0,,2000,2000,IE,IRL,3805174.0,1529,0.0004018213096168,group,2
136,1999,EE,10.0,Iceland,0.0,1.0,0.0,,2000,2000,IS,ISL,281205.0,21,7.467861524510588e-05,female,43
137,1999,EE,2.0,Lithuania,0.0,0.0,1.0,,2000,2000,LT,LTU,3499536.0,1107,0.0003163276502942,female,43
138,1999,EE,0.0,Netherlands,0.0,1.0,0.0,,2000,2000,NL,NLD,15925513.0,165,1.036073374841991e-05,female,23
139,1999,EE,0.0,Norway,0.0,1.0,0.0,,2000,2000,NO,NOR,4490967.0,302,6.724609644203575e-05,male,3
140,1999,EE,0.0,Poland,1.0,0.0,0.0,,2000,2000,PL,POL,38258629.0,293,7.658403023276134e-06,male,43
141,1999,EE,0.0,Portugal,1.0,0.0,0.0,,2000,2000,PT,PRT,10289898.0,223,2.167174057507664e-05,male,43
142,1999,EE,12.0,Sweden,0.0,1.0,0.0,,2000,2000,SE,SWE,8872109.0,10253,0.0011556440526147,female,7
143,1999,EE,0.0,Slovenia,0.0,1.0,0.0,,2000,2000,SI,SVN,1988925.0,3,1.5083525019797126e-06,female,43
144,1999,EE,0.0,Turkey,1.0,0.0,0.0,,2000,2000,TR,TUR,64113547.0,105,1.6377194042937602e-06,group,43
145,1999,ES,0.0,Austria,0.0,1.0,0.0,,2000,2000,AT,AUT,8011566.0,2853,0.0003561101537452,female,32
146,1999,ES,0.0,Belgium,0.0,1.0,0.0,,2000,2000,BE,BEL,10251250.0,34629,0.0033780270698695,female,12
147,1999,ES,0.0,Cyprus,1.0,0.0,0.0,,2000,2000,CY,CYP,948237.0,71,7.487579581897775e-05,female,43
148,1999,ES,7.0,Germany,0.0,0.0,1.0,,2000,2000,DE,DEU,82211508.0,125158,0.0015223902716879,group,16
149,1999,ES,5.0,Denmark,0.0,1.0,0.0,,2000,2000,DK,DNK,5339616.0,2747,0.000514456470278,group,35
150,1999,ES,1.0,Estonia,1.0,1.0,0.0,,2000,2000,EE,EST,1396985.0,0,0.0,group,43
151,1999,ES,0.0,France,1.0,0.0,0.0,1.0,2000,2000,FR,FRA,60921384.0,461791,0.0075801134130504,female,21
152,1999,ES,4.0,United Kingdom,1.0,1.0,0.0,,2000,2000,GB,GBR,58892514.0,52676,0.0008944430526433,group,1
153,1999,ES,12.0,Croatia,1.0,0.0,0.0,,2000,2000,HR,HRV,4468302.0,59,1.3204120939005466e-05,female,43
154,1999,ES,0.0,Ireland,1.0,1.0,0.0,,2000,2000,IE,IRL,3805174.0,4000,0.0010512002867674,group,2
155,1999,ES,8.0,Israel,0.0,0.0,1.0,,2000,2000,IL,ISR,6289000.0,2829,0.000449833041819,male,0
156,1999,ES,10.0,Iceland,0.0,1.0,0.0,,2000,2000,IS,ISL,281205.0,154,0.0005476431784641,female,43
157,1999,ES,0.0,Lithuania,0.0,0.0,1.0,,2000,2000,LT,LTU,3499536.0,732,0.0002091705871864,female,43
158,1999,ES,0.0,Malta,1.0,1.0,0.0,,2000,2000,MT,MLT,390087.0,35,8.972357448466624e-05,group,43
159,1999,ES,3.0,Netherlands,0.0,1.0,0.0,,2000,2000,NL,NLD,15925513.0,17910,0.0011246105541466,female,23
160,1999,ES,0.0,Norway,0.0,1.0,0.0,,2000,2000,NO,NOR,4490967.0,1610,0.0003584974015618,male,3
161,1999,ES,0.0,Poland,1.0,0.0,0.0,,2000,2000,PL,POL,38258629.0,1153,3.013699210183408e-05,male,43
162,1999,ES,0.0,Portugal,1.0,0.0,0.0,1.0,2000,2000,PT,PRT,10289898.0,13884,0.0013492845118581,male,43
163,1999,ES,6.0,Sweden,0.0,1.0,0.0,,2000,2000,SE,SWE,8872109.0,5079,0.0005724681696313,female,7
164,1999,ES,2.0,Slovenia,0.0,1.0,0.0,,2000,2000,SI,SVN,1988925.0,30,1.5083525019797127e-05,female,43
165,1999,ES,0.0,Turkey,1.0,0.0,0.0,,2000,2000,TR,TUR,64113547.0,1126,1.7562590945093087e-05,group,43
166,1999,FR,0.0,Austria,0.0,1.0,0.0,,2000,2000,AT,AUT,8011566.0,6205,0.0007745052590217,female,32
167,1999,FR,6.0,Bosnia and Herzegovina,0.0,0.0,1.0,,2000,2000,BA,BIH,4179350.0,217,5.192194958546186e-05,group,43
168,1999,FR,2.0,Belgium,0.0,1.0,0.0,1.0,2000,2000,BE,BEL,10251250.0,133707,0.0130429947567369,female,12
169,1999,FR,0.0,Cyprus,1.0,0.0,0.0,,2000,2000,CY,CYP,948237.0,417,0.0004397634768523,female,43
